iter	Passed	Remaining
0	28	28434
1	57	28781
2	84	28185
3	111	27854
4	139	27764
5	168	27983
6	198	28118
7	242	30036
8	270	29815
9	300	29731
10	332	29892
11	363	29912
12	392	29812
13	422	29760
14	453	29772
15	483	29747
16	515	29801
17	546	29791
18	576	29761
19	608	29819
20	639	29826
21	670	29816
22	704	29935
23	735	29903
24	765	29854
25	796	29836
26	827	29807
27	856	29734
28	889	29783
29	922	29836
30	952	29771
31	983	29752
32	1015	29768
33	1047	29751
34	1078	29729
35	1110	29737
36	1141	29708
37	1173	29716
38	1204	29682
39	1236	29685
40	1269	29683
41	1300	29662
42	1331	29644
43	1363	29617
44	1395	29610
45	1425	29568
46	1457	29559
47	1493	29611
48	1525	29603
49	1554	29541
50	1586	29530
51	1618	29508
52	1649	29481
53	1681	29464
54	1713	29442
55	1745	29418
56	1776	29382
57	1806	29341
58	1837	29307
59	1866	29241
60	1898	29219
61	1928	29172
62	1959	29146
63	1991	29123
64	2022	29090
65	2057	29118
66	2089	29095
67	2118	29040
68	2148	28993
69	2177	28935
70	2206	28876
71	2240	28873
72	2273	28866
73	2304	28834
74	2334	28788
75	2365	28760
76	2396	28724
77	2428	28707
78	2459	28675
79	2489	28625
80	2522	28623
81	2554	28595
82	2585	28563
83	2616	28534
84	2648	28509
85	2679	28478
86	2711	28454
87	2741	28410
88	2772	28384
89	2802	28340
90	2834	28314
91	2865	28282
92	2895	28234
93	2926	28204
94	2957	28177
95	2989	28147
96	3020	28118
97	3055	28118
98	3088	28107
99	3118	28066
100	3151	28047
101	3181	28008
102	3212	27976
103	3244	27954
104	3276	27928
105	3308	27901
106	3339	27867
107	3370	27840
108	3400	27798
109	3431	27767
110	3463	27738
111	3495	27712
112	3524	27666
113	3556	27638
114	3586	27597
115	3618	27573
116	3649	27543
117	3680	27508
118	3710	27473
119	3745	27468
120	3777	27438
121	3806	27396
122	3838	27370
123	3869	27333
124	3900	27306
125	3934	27289
126	3970	27293
127	4004	27283
128	4038	27264
129	4069	27236
130	4100	27202
131	4131	27168
132	4162	27136
133	4200	27146
134	4236	27144
135	4269	27122
136	4300	27092
137	4324	27012
138	4355	26981
139	4386	26945
140	4417	26911
141	4451	26897
142	4482	26862
143	4512	26824
144	4542	26782
145	4572	26748
146	4603	26710
147	4638	26701
148	4668	26663
149	4699	26629
150	4730	26597
151	4761	26564
152	4792	26530
153	4822	26493
154	4852	26452
155	4884	26424
156	4915	26391
157	4945	26355
158	4977	26325
159	5008	26295
160	5042	26274
161	5075	26256
162	5106	26223
163	5136	26182
164	5166	26146
165	5197	26111
166	5228	26081
167	5260	26050
168	5291	26016
169	5319	25972
170	5351	25946
171	5381	25904
172	5412	25873
173	5442	25836
174	5475	25811
175	5506	25779
176	5536	25741
177	5564	25697
178	5596	25669
179	5621	25607
180	5652	25578
181	5682	25540
182	5719	25532
183	5755	25524
184	5790	25508
185	5827	25504
186	5865	25499
187	5899	25482
188	5931	25451
189	5963	25421
190	5993	25387
191	6027	25365
192	6059	25337
193	6093	25314
194	6123	25279
195	6157	25257
196	6192	25241
197	6237	25265
198	6279	25275
199	6319	25278
200	6355	25262
201	6387	25234
202	6417	25194
203	6447	25159
204	6478	25122
205	6511	25098
206	6542	25065
207	6573	25028
208	6605	25001
209	6639	24976
210	6671	24947
211	6703	24917
212	6733	24878
213	6765	24848
214	6795	24811
215	6826	24778
216	6858	24747
217	6889	24713
218	6918	24672
219	6949	24638
220	6979	24602
221	7013	24577
222	7043	24540
223	7076	24516
224	7106	24478
225	7136	24441
226	7168	24410
227	7200	24380
228	7233	24354
229	7264	24321
230	7296	24291
231	7327	24257
232	7357	24220
233	7391	24195
234	7425	24172
235	7458	24145
236	7491	24119
237	7523	24089
238	7556	24060
239	7587	24027
240	7619	23996
241	7651	23965
242	7681	23930
243	7713	23898
244	7744	23866
245	7775	23833
246	7806	23798
247	7836	23763
248	7867	23729
249	7898	23696
250	7929	23661
251	7958	23624
252	7992	23597
253	8028	23579
254	8062	23555
255	8093	23520
256	8124	23487
257	8155	23454
258	8184	23416
259	8217	23389
260	8248	23355
261	8279	23321
262	8310	23288
263	8340	23252
264	8371	23219
265	8402	23185
266	8434	23155
267	8464	23118
268	8495	23086
269	8527	23055
270	8559	23024
271	8591	22994
272	8621	22958
273	8651	22923
274	8682	22891
275	8714	22858
276	8743	22821
277	8774	22787
278	8806	22757
279	8836	22723
280	8868	22691
281	8900	22661
282	8930	22625
283	8967	22609
284	8998	22574
285	9030	22545
286	9062	22514
287	9093	22481
288	9125	22449
289	9155	22414
290	9186	22381
291	9219	22353
292	9251	22324
293	9282	22290
294	9312	22255
295	9343	22221
296	9374	22189
297	9404	22153
298	9437	22126
299	9468	22093
300	9499	22060
301	9530	22028
302	9562	21996
303	9597	21973
304	9628	21940
305	9662	21913
306	9693	21880
307	9723	21846
308	9752	21810
309	9784	21778
310	9817	21749
311	9847	21715
312	9879	21683
313	9912	21655
314	9943	21622
315	9974	21590
316	10006	21558
317	10037	21527
318	10072	21502
319	10102	21467
320	10135	21438
321	10165	21404
322	10199	21377
323	10232	21350
324	10263	21316
325	10294	21283
326	10326	21252
327	10358	21222
328	10391	21193
329	10427	21171
330	10463	21147
331	10500	21127
332	10535	21103
333	10572	21082
334	10613	21068
335	10657	21060
336	10698	21047
337	10736	21027
338	10772	21004
339	10808	20980
340	10845	20958
341	10880	20933
342	10916	20909
343	10951	20884
344	10990	20866
345	11024	20837
346	11061	20815
347	11092	20783
348	11123	20748
349	11153	20713
350	11183	20678
351	11216	20648
352	11246	20613
353	11276	20578
354	11298	20529
355	11330	20497
356	11362	20465
357	11392	20431
358	11424	20399
359	11458	20370
360	11490	20338
361	11525	20312
362	11557	20281
363	11593	20257
364	11629	20232
365	11670	20215
366	11706	20191
367	11738	20160
368	11773	20132
369	11804	20100
370	11840	20073
371	11871	20041
372	11902	20008
373	11934	19975
374	11966	19943
375	11998	19912
376	12027	19876
377	12064	19852
378	12100	19827
379	12130	19792
380	12163	19761
381	12197	19733
382	12230	19703
383	12262	19671
384	12297	19644
385	12329	19611
386	12361	19580
387	12393	19547
388	12424	19515
389	12455	19481
390	12486	19447
391	12518	19415
392	12548	19382
393	12580	19350
394	12612	19317
395	12643	19285
396	12674	19251
397	12705	19217
398	12737	19185
399	12767	19151
400	12798	19117
401	12829	19085
402	12862	19054
403	12893	19021
404	12926	18990
405	12959	18960
406	12994	18932
407	13027	18902
408	13062	18874
409	13095	18844
410	13126	18811
411	13158	18780
412	13189	18747
413	13222	18716
414	13254	18683
415	13285	18650
416	13316	18617
417	13347	18583
418	13378	18551
419	13409	18517
420	13439	18483
421	13475	18456
422	13513	18432
423	13549	18406
424	13583	18377
425	13616	18346
426	13647	18314
427	13681	18284
428	13712	18251
429	13743	18218
430	13776	18187
431	13807	18153
432	13839	18121
433	13871	18090
434	13902	18056
435	13934	18025
436	13966	17993
437	13996	17958
438	14025	17923
439	14057	17890
440	14092	17862
441	14121	17827
442	14151	17793
443	14184	17762
444	14217	17732
445	14248	17698
446	14278	17664
447	14308	17629
448	14341	17598
449	14371	17565
450	14404	17534
451	14436	17502
452	14468	17470
453	14498	17436
454	14530	17404
455	14558	17368
456	14589	17334
457	14619	17301
458	14652	17269
459	14683	17237
460	14713	17203
461	14746	17171
462	14777	17139
463	14808	17106
464	14838	17072
465	14868	17038
466	14900	17005
467	14931	16973
468	14961	16939
469	14993	16907
470	15025	16875
471	15059	16846
472	15093	16816
473	15125	16784
474	15155	16751
475	15188	16720
476	15219	16687
477	15254	16658
478	15286	16626
479	15318	16595
480	15351	16564
481	15386	16536
482	15421	16507
483	15452	16474
484	15481	16439
485	15511	16404
486	15542	16372
487	15575	16341
488	15607	16309
489	15637	16275
490	15669	16243
491	15689	16199
492	15718	16164
493	15749	16131
494	15779	16098
495	15808	16063
496	15839	16030
497	15873	16001
498	15911	15974
499	15947	15947
500	15981	15917
501	16017	15890
502	16056	15865
503	16088	15833
504	16124	15804
505	16159	15776
506	16192	15745
507	16223	15712
508	16255	15680
509	16285	15647
510	16318	15615
511	16353	15586
512	16387	15557
513	16424	15529
514	16459	15500
515	16496	15473
516	16531	15444
517	16565	15413
518	16598	15383
519	16631	15351
520	16664	15321
521	16696	15289
522	16729	15257
523	16760	15224
524	16791	15192
525	16823	15160
526	16856	15129
527	16888	15097
528	16921	15065
529	16951	15032
530	16982	14999
531	17013	14966
532	17046	14935
533	17079	14904
534	17111	14872
535	17143	14840
536	17176	14809
537	17207	14777
538	17238	14743
539	17271	14712
540	17303	14680
541	17334	14648
542	17364	14614
543	17396	14582
544	17429	14550
545	17461	14519
546	17493	14486
547	17523	14453
548	17555	14421
549	17586	14389
550	17618	14356
551	17649	14324
552	17681	14292
553	17713	14260
554	17743	14226
555	17774	14194
556	17804	14160
557	17837	14129
558	17869	14097
559	17901	14065
560	17932	14032
561	17963	14000
562	17994	13967
563	18027	13936
564	18060	13905
565	18091	13871
566	18123	13840
567	18157	13810
568	18190	13778
569	18219	13744
570	18252	13713
571	18284	13681
572	18315	13648
573	18346	13616
574	18378	13583
575	18410	13552
576	18442	13520
577	18472	13486
578	18504	13454
579	18537	13423
580	18568	13390
581	18598	13357
582	18631	13326
583	18663	13294
584	18694	13261
585	18724	13228
586	18755	13195
587	18787	13164
588	18818	13131
589	18849	13099
590	18882	13067
591	18914	13035
592	18947	13004
593	18978	12971
594	19010	12939
595	19044	12909
596	19076	12877
597	19107	12844
598	19139	12812
599	19173	12782
600	19205	12750
601	19236	12718
602	19268	12685
603	19298	12652
604	19329	12620
605	19362	12588
606	19395	12557
607	19427	12525
608	19458	12493
609	19491	12461
610	19521	12428
611	19553	12396
612	19584	12363
613	19614	12331
614	19647	12299
615	19677	12266
616	19711	12235
617	19745	12205
618	19780	12175
619	19816	12145
620	19837	12106
621	19874	12077
622	19909	12048
623	19944	12017
624	19980	11988
625	20013	11957
626	20045	11925
627	20079	11894
628	20110	11861
629	20140	11828
630	20176	11798
631	20211	11768
632	20243	11736
633	20274	11703
634	20304	11671
635	20337	11639
636	20367	11606
637	20398	11574
638	20429	11541
639	20460	11509
640	20492	11477
641	20523	11444
642	20556	11413
643	20587	11380
644	20620	11349
645	20650	11316
646	20683	11284
647	20713	11251
648	20745	11219
649	20777	11187
650	20809	11155
651	20842	11124
652	20876	11093
653	20908	11061
654	20939	11029
655	20971	10997
656	21003	10965
657	21033	10932
658	21068	10902
659	21099	10869
660	21131	10837
661	21166	10806
662	21198	10775
663	21231	10743
664	21260	10710
665	21292	10678
666	21323	10645
667	21354	10613
668	21385	10580
669	21415	10547
670	21446	10515
671	21479	10484
672	21509	10451
673	21545	10420
674	21576	10388
675	21606	10355
676	21636	10322
677	21667	10290
678	21700	10258
679	21731	10226
680	21762	10194
681	21792	10161
682	21824	10129
683	21854	10096
684	21885	10064
685	21916	10031
686	21941	9996
687	21971	9963
688	22002	9931
689	22035	9900
690	22068	9868
691	22100	9836
692	22133	9805
693	22166	9773
694	22197	9741
695	22228	9708
696	22259	9676
697	22290	9644
698	22321	9612
699	22354	9580
700	22390	9550
701	22425	9519
702	22462	9489
703	22501	9460
704	22535	9429
705	22569	9398
706	22601	9366
707	22635	9335
708	22667	9303
709	22700	9271
710	22739	9242
711	22778	9213
712	22818	9184
713	22857	9155
714	22890	9124
715	22921	9091
716	22953	9059
717	22984	9027
718	23019	8996
719	23056	8966
720	23092	8935
721	23130	8906
722	23168	8876
723	23206	8846
724	23238	8814
725	23270	8782
726	23302	8750
727	23336	8719
728	23369	8687
729	23400	8655
730	23433	8623
731	23465	8591
732	23497	8559
733	23529	8526
734	23564	8495
735	23601	8465
736	23637	8434
737	23674	8404
738	23711	8374
739	23742	8341
740	23776	8310
741	23808	8278
742	23840	8246
743	23871	8213
744	23907	8183
745	23945	8153
746	23980	8121
747	24016	8091
748	24050	8059
749	24081	8027
750	24116	7996
751	24154	7965
752	24192	7935
753	24235	7906
754	24279	7878
755	24318	7848
756	24356	7818
757	24395	7788
758	24431	7757
759	24463	7725
760	24493	7692
761	24524	7659
762	24557	7628
763	24591	7596
764	24628	7565
765	24664	7534
766	24701	7503
767	24739	7473
768	24771	7440
